代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率,总市值,流通市值,采集时间
689009,九号公司-WD,52.65,-0.0%,-0.03,54781,290025909.0,0.02%,53.39,52.59,52.68,52.68,0.99,0.01%,15.94,5.3,37983861332,29255376431,2026-02-25 22:47:40
688981,中芯国际,116.13,0.0%,0.31,275529,3214693555.0,0.01%,117.5,115.85,117.0,115.82,0.84,0.01%,184.32,6.16,929100455652,232209198815,2026-02-25 22:47:40
688819,天能股份,34.11,0.01%,0.38,21020,71740146.0,0.02%,34.35,33.79,33.89,33.73,0.97,0.0%,18.29,1.97,33158331000,33158331000,2026-02-25 22:47:40
688818,电科蓝天,61.5,0.11%,6.3,468734,2746121758.0,0.13%,62.18,55.12,56.0,55.2,0.81,0.36%,706.7,20.49,106820819235,8119004849,2026-02-25 22:47:40
688816,C易思,75.53,0.0%,0.22,34477,257242842.0,0.04%,76.47,73.51,75.0,75.31,0.44,0.18%,-789.46,4.31,7553000000,1456538798,2026-02-25 22:47:40
688809,强一股份,357.5,0.05%,17.25,35481,1263120205.0,0.1%,370.0,336.12,341.99,340.25,1.79,0.15%,139.07,11.86,46317449750,8706200718,2026-02-25 22:47:40
688807,优迅股份,219.88,-0.02%,-5.12,24107,531842892.0,0.05%,228.0,217.21,222.5,225.0,0.97,0.16%,180.87,10.11,17590400000,3306040041,2026-02-25 22:47:40
688805,健信超导,45.25,-0.0%,-0.03,14288,64568848.0,0.02%,45.58,44.89,45.28,45.28,1.32,0.05%,119.49,6.36,7587520000,1426228370,2026-02-25 22:47:40
688802,沐曦股份-U,519.98,0.01%,3.16,7549,392256684.0,0.02%,525.86,515.15,515.15,516.82,0.86,0.04%,-451.61,15.47,208043998000,9431903181,2026-02-25 22:47:40
688800,瑞可达,97.46,0.04%,3.46,187615,1817564705.0,0.09%,101.9,93.66,98.47,94.0,2.71,0.09%,64.52,8.74,20045020689,20045020689,2026-02-25 22:47:40
688799,华纳药厂,44.51,0.0%,0.07,17810,79291859.0,0.01%,44.8,44.24,44.3,44.44,0.72,0.01%,24.21,2.86,5845053200,5845053200,2026-02-25 22:47:40
688798,艾为电子,79.39,0.01%,0.99,25351,199978862.0,0.03%,80.0,77.83,78.4,78.4,1.03,0.02%,50.34,4.44,18508082412,10776655824,2026-02-25 22:47:40
688796,百奥赛图,71.67,0.0%,0.32,12289,87898814.0,0.03%,72.25,70.44,71.33,71.35,0.56,0.03%,210.48,15.11,32029209761,2572067230,2026-02-25 22:47:40
688795,摩尔线程-U,587.8,-0.01%,-3.58,13504,791541605.0,0.02%,593.5,581.1,589.8,591.38,0.71,0.05%,-286.39,24.0,276282585953,17270966491,2026-02-25 22:47:40
688793,倍轻松,22.88,-0.01%,-0.27,10028,23122491.0,0.02%,23.27,22.88,23.12,23.15,0.81,0.01%,-22.47,7.11,1966431187,1966431187,2026-02-25 22:47:40
688790,昂瑞微-UW,147.79,0.02%,3.19,6328,92846740.0,0.03%,148.55,144.19,144.99,144.6,1.59,0.05%,-175.75,5.17,14709788170,1782003197,2026-02-25 22:47:40
688789,宏华数科,79.97,-0.02%,-1.41,15431,123610532.0,0.03%,81.8,79.39,81.64,81.38,1.21,0.01%,27.88,4.14,14415080877,14415080877,2026-02-25 22:47:40
688788,科思科技,67.38,0.0%,0.3,22272,149629655.0,0.02%,67.85,66.66,67.08,67.08,0.59,0.01%,-42.17,5.45,10570197611,10570197611,2026-02-25 22:47:40
688787,海天瑞声,140.8,0.01%,1.62,37639,524510661.0,0.06%,144.26,135.65,140.79,139.18,0.79,0.06%,1524.1,11.63,8493785344,8493785344,2026-02-25 22:47:40
688786,悦安新材,32.58,0.01%,0.3,24493,79279907.0,0.03%,32.88,31.79,32.44,32.28,1.27,0.02%,57.21,6.27,4685004098,4685004098,2026-02-25 22:47:40
